Time,x,y,v_x,v_y,x_target,y_target,error_x,error_y,euclidean
0 days 00:00:00.289111853,2.2551938856453613,1.4666152015555531,1.1965676274396146,1.2466037331368574,2.6912150373333334,2.6912150373333334,0.4360211516879722,1.2245998357777803,1.2999073822800886
0 days 00:00:00.322916746,2.409663717236439,1.3088855967843696,1.3764291453193698,1.0629466019254992,2.764424323,2.764424323,0.3547606057635613,1.4555387262156305,1.4981482139345055
0 days 00:00:00.342911482,2.4784851745024072,1.3620329268806446,1.3764291453193698,1.0629466019254992,2.813595056,2.813595056,0.3351098814975928,1.4515621291193554,1.4897420069833727
0 days 00:00:00.409775734,2.407229624948682,1.5828470683692473,1.296166370515432,1.311673274062968,2.9052172895,2.9052172895,0.4979876645513177,1.3223702211307526,1.4130303308063388
0 days 00:00:00.409787178,2.545679705025069,1.8070355769777249,1.4521175584349033,1.5642008581286242,2.918250799,2.918250799,0.37257109397493116,1.111215222022275,1.1720104477860642
0 days 00:00:00.409790277,2.6182855829468146,1.885245619884156,1.4521175584349033,1.5642008581286242,2.9312843085,2.9312843085,0.3129987255531854,1.046038688615844,1.0918631508934957
0 days 00:00:00.473231316,2.629872450727468,2.102807887031449,1.4647530197910867,1.8014521732505024,2.9951535066666666,2.9951535066666666,0.3652810559391986,0.8923456196352175,0.9642152014515308
0 days 00:00:00.473233223,2.7031101017170225,2.1928804956939745,1.4647530197910867,1.8014521732505024,3.000771681333333,3.000771681333333,0.2976615796163107,0.8078911856393587,0.8609823365281345
0 days 00:00:00.473235369,2.476679801682617,2.165763957487786,1.2258522691044216,1.7728422154290548,3.006389856,3.006389856,0.5297100543173832,0.8406258985122141,0.9936018533066413
0 days 00:00:00.477704048,2.1724658763339617,2.0660939090147883,0.9048840279984928,1.6676829262457724,3.012008030666667,3.012008030666667,0.8395421543327051,0.9459141216518785,1.2647468341300738
0 days 00:00:00.477714539,2.2177100777338863,2.149478055327077,0.9048840279984928,1.6676829262457724,3.0176262053333334,3.0176262053333334,0.7999161275994471,0.8681481500062564,1.1804859260291842
0 days 00:00:00.491340160,2.317535889064501,2.258326355055348,1.0069031083388902,1.778922727724736,3.1080104824,3.1080104824,0.7904745933354991,0.849684127344652,1.1605228127746414
0 days 00:00:00.507175206,2.435294972991056,2.245030738722712,1.127249472508438,1.7653349939238865,3.1154493328,3.1154493328,0.6801543598089439,0.8704185940772877,1.1046440522098493
0 days 00:00:00.537173748,2.491657446616478,2.333297488418906,1.127249472508438,1.7653349939238865,3.1228881832,3.1228881832,0.6312307365835221,0.789590694781094,1.0108935196610307
0 days 00:00:00.538015366,2.481616312574912,2.178834901421469,1.116987725102223,1.6074787154480972,3.1303270336,3.1303270336,0.648710721025088,0.9514921321785308,1.1515914541062453
0 days 00:00:00.589736700,2.5374656988300237,2.259208837193874,1.116987725102223,1.6074787154480972,3.270472049,3.270472049,0.7330063501699762,1.011263211806126,1.248980221197258
0 days 00:00:00.607358217,2.7052147024509665,2.2979719479988665,1.2781233745524934,1.644713625339958,3.316115617,3.316115617,0.6109009145490334,1.0181436690011334,1.1873569211167865
0 days 00:00:00.629156113,2.62133763348606,2.497129823901557,1.1975530838806865,1.8360198804234893,3.3598349886666665,3.3598349886666665,0.7384973551806064,0.8627051647651096,1.1356225362862193
0 days 00:00:00.631437063,2.681215287680094,2.5889308179227317,1.1975530838806865,1.8360198804234893,3.3716127073333335,3.3716127073333335,0.6903974196532396,0.7826818894106018,1.0436663916574114
0 days 00:00:00.686311007,2.6217719147256053,2.7712390158690767,1.142124918087593,2.006013750538276,3.471119165,3.471119165,0.8493472502743948,0.6998801491309234,1.1005557571955176
0 days 00:00:00.689159632,2.678878160629985,2.87153970339599,1.142124918087593,2.006013750538276,3.5161170960000003,3.5161170960000003,0.8372389353700154,0.6445773926040101,1.0566215263544942
0 days 00:00:00.742297411,2.7359844065343646,2.9718403909229045,1.142124918087593,2.006013750538276,3.589794,3.589794,0.8538095934656353,0.6179536090770954,1.0539722410316892
0 days 00:00:00.747577429,2.7565618707238686,3.030378268755563,1.1607520287423303,2.059003347207754,3.605772654,3.605772654,0.8492107832761313,0.575394385244437,1.0257863583628337
0 days 00:00:00.796602964,3.039879245137536,2.8032047040314074,1.4094837050775952,1.859561778578805,3.7010207175,3.7010207175,0.661141472362464,0.8978160134685926,1.114980556116672
0 days 00:00:00.796605587,2.8145994721609853,3.1333284361159506,1.1607520287423303,2.059003347207754,3.7128257749999998,3.7128257749999998,0.8982263028390145,0.5794973388840492,1.068937630025971
